trade_num,direction,entry_time,entry_price,stop_price,exit_time,exit_price,pnl_r,outcome,reason
1,LONG,2026-01-01 20:15:00,896.25869,881.34397,2026-01-01 22:30:00,926.08813,2.0,win,HTF bias aligned (bullish) | CHOCH bullish | Liquidity sweep (bullish)
2,SHORT,2026-01-01 21:45:00,903.27916,907.79556,2026-01-01 22:00:00,907.79556,-1.0,loss,CHOCH bearish | Liquidity sweep (bearish)
3,LONG,2026-01-01 23:15:00,930.63182,924.41749,2026-01-02 01:00:00,924.41749,-1.0,loss,HTF bias aligned (bullish) | CHOCH bullish | Sweep present but direction mismatch
4,LONG,2026-01-02 00:45:00,931.81669,927.1576,2026-01-02 01:00:00,927.1576,-1.0,loss,HTF bias aligned (bullish) | BOS bullish | Sweep present but direction mismatch
5,LONG,2026-01-02 02:15:00,923.83235,919.21319,2026-01-02 02:30:00,919.21319,-1.0,loss,HTF bias aligned (bullish) | BOS bullish | Sweep present but direction mismatch
6,LONG,2026-01-02 03:45:00,915.30494,910.72842,2026-01-02 04:00:00,910.72842,-1.0,loss,HTF bias aligned (bullish) | BOS bullish | Liquidity sweep (bullish)
7,LONG,2026-01-02 05:15:00,909.26637,904.72004,2026-01-02 05:30:00,904.72004,-1.0,loss,HTF bias aligned (bullish) | BOS bullish | Liquidity sweep (bullish)
8,LONG,2026-01-02 08:45:00,898.81584,894.32176,2026-01-02 09:00:00,907.804,2.0,win,HTF bias aligned (bullish) | CHOCH bullish | Liquidity sweep (bullish)
9,SHORT,2026-01-02 10:15:00,916.12927,920.70991,2026-01-02 10:30:00,920.70991,-1.0,loss,HTF bias aligned (bearish) | CHOCH bearish | Sweep present but direction mismatch
10,SHORT,2026-01-02 11:45:00,944.2426,951.24692,2026-01-02 13:00:00,951.24692,-1.0,loss,HTF bias aligned (bearish) | CHOCH bearish | Sweep present but direction mismatch
11,LONG,2026-01-02 13:15:00,959.11711,899.60522,2026-01-02 23:00:00,922.44716,-0.62,time_exit,CHOCH bullish | Liquidity sweep (bullish)
12,LONG,2026-01-02 14:45:00,964.17074,899.60522,2026-01-03 00:30:00,899.60522,-1.0,loss,CHOCH bullish | Liquidity sweep (bullish)
13,LONG,2026-01-02 16:15:00,957.84404,899.60522,2026-01-03 00:30:00,899.60522,-1.0,loss,HTF bias aligned (bullish) | BOS bullish | Liquidity sweep (bullish)
14,SHORT,2026-01-03 21:45:00,800.58797,804.86649,2026-01-03 22:15:00,792.03094,2.0,win,HTF bias aligned (bearish) | CHOCH bearish | Sweep present but direction mismatch
15,SHORT,2026-01-03 23:15:00,779.54694,786.5122,2026-01-04 00:30:00,765.61643,2.0,win,HTF bias aligned (bearish) | CHOCH bearish | Sweep present but direction mismatch
16,SHORT,2026-01-04 00:45:00,758.03955,771.86116,2026-01-04 03:15:00,730.39633,2.0,win,HTF bias aligned (bearish) | CHOCH bearish | Sweep present but direction mismatch
17,SHORT,2026-01-04 02:15:00,751.416,756.24767,2026-01-04 02:30:00,741.75267,2.0,win,HTF bias aligned (bearish) | CHOCH bearish | Sweep present but direction mismatch
18,SHORT,2026-01-04 03:45:00,724.50985,736.2729,2026-01-04 05:15:00,736.2729,-1.0,loss,HTF bias aligned (bearish) | CHOCH bearish | Sweep present but direction mismatch
19,SHORT,2026-01-04 05:15:00,730.95019,734.96438,2026-01-04 05:30:00,734.96438,-1.0,loss,HTF bias aligned (bearish) | CHOCH bearish | Sweep present but direction mismatch
20,LONG,2026-01-04 06:45:00,740.34927,736.64752,2026-01-04 07:00:00,736.64752,-1.0,loss,CHOCH bullish | Liquidity sweep (bullish)
21,SHORT,2026-01-04 08:15:00,731.07701,743.51811,2026-01-04 10:00:00,706.19482,2.0,win,HTF bias aligned (bearish) | CHOCH bearish | Sweep present but direction mismatch
22,SHORT,2026-01-04 09:45:00,715.56597,728.51906,2026-01-04 11:45:00,728.51906,-1.0,loss,HTF bias aligned (bearish) | CHOCH bearish | Sweep present but direction mismatch
23,SHORT,2026-01-04 11:15:00,715.3225,718.89911,2026-01-04 11:30:00,718.89911,-1.0,loss,HTF bias aligned (bearish) | BOS bearish | Sweep present but direction mismatch
24,SHORT,2026-01-04 12:45:00,734.45106,738.12332,2026-01-04 14:30:00,727.10655,2.0,win,HTF bias aligned (bearish) | BOS bearish | Sweep present but direction mismatch
25,LONG,2026-01-04 14:15:00,730.69515,722.67306,2026-01-04 14:45:00,722.67306,-1.0,loss,CHOCH bullish | Liquidity sweep (bullish)
26,LONG,2026-01-04 15:45:00,705.69103,702.16257,2026-01-04 16:00:00,712.74794,2.0,win,CHOCH bullish | Liquidity sweep (bullish)
27,LONG,2026-01-04 17:15:00,708.24659,704.70535,2026-01-04 17:30:00,715.32905,2.0,win,HTF bias aligned (bullish) | CHOCH bullish | Liquidity sweep (bullish)
28,LONG,2026-01-04 18:45:00,714.30592,710.73439,2026-01-04 19:00:00,710.73439,-1.0,loss,HTF bias aligned (bullish) | CHOCH bullish | Liquidity sweep (bullish)
29,LONG,2026-01-04 20:15:00,725.75263,722.12386,2026-01-04 20:30:00,733.01015,2.0,win,HTF bias aligned (bullish) | CHOCH bullish | Sweep present but direction mismatch
